URL,Business_ID,Name,Phone,Address,Website,Business_Rating_Value,Business_Reviews_Count,ReviewID,Reviwer,ReviwerProfile,ReviewDetails,Date,Rating
https://www.google.com/maps?cid=11740017023015399881,1.174E+19,Mozambique,(949) 715-7777,"1740 S Coast Hwy, Laguna Beach, CA 92651",https://www.mozambiqueoc.com/,4.4,1611,ChdDSUhNMG9nS0VJQ0FnSUNLMXNhRjl3RRAB,Hike CA Time,https://www.google.com/maps/contrib/113234543214432776871,"Went there last night. The food was not great at all. Very ordinary, maybe even less so for an upscale restaurant. Steak was burnt, mash potatoes tasted so bad we couldn't even eat it. Mac and cheese tasted like the boxed ones you get at grocery store. Server was late for everything. Will never go there again.",4/5/2021,1
https://www.google.com/maps?cid=646136252917286845,6.46136E+17,The Godfather,(858) 560-1747,"7878 Clairemont Mesa Blvd, San Diego, CA 92111",http://www.godfatherrestaurant.com/,4.7,807,ChdDSUhNMG9nS0VJQ0FnSUNLNXVlSDFRRRAB,Tara Love,https://www.google.com/maps/contrib/115427100686117941540,Service was terrible,4/4/2021,1
https://www.google.com/maps?cid=6988833773435322427,6.98883E+18,Mastro's Steakhouse,(310) 888-8782,"246 N Canon Dr, Beverly Hills, CA 90210",https://www.mastrosrestaurants.com/Locations/CA/Beverly-Hills-Steakhouse/,4.5,1980,ChdDSUhNMG9nS0VJQ0FnSUNLcnNUUThBRRAB,Zelgai Saleh,https://www.google.com/maps/contrib/100275750177494407274,"Wouldn't let me in for my reservation because I was wearing the wrong shoes. I've worn these shoes to restaurants a lot nicer than this one. Went to the Palm right across the street and had a very nice dinner.

0/10 clearly they don't care about the customer which is the most important thing",4/6/2021,1
https://www.google.com/maps?cid=2599776157095065418,2.59978E+18,Eureka!,+1 805-903-1141,"1141 Chorro St, San Luis Obispo, CA 93401, United States",http://eurekarestaurantgroup.com/blog/locations/san-luis-obispo/,4.5,931,ChdDSUhNMG9nS0VJQ0FnSUNLd0lEMTl3RRAB,Fire Ninja Fairy,https://www.google.com/maps/contrib/107969541178134383400,Why ask what sauce side I want but not include it with my meal? But thanks for the 20 packets of ketchup? Also way to ruin the French fries by throwing them in the same container as the chicken strips. No bueno.,3/24/2021,1
https://www.google.com/maps?cid=18189491404613468604,1.81895E+19,George's at the Cove,(858) 454-4244,"1250 Prospect St, La Jolla, CA 92037",https://www.georgesatthecove.com/,4.5,2693,ChRDSUhNMG9nS0VJQ0FnSUNLbXBJUxAB,Giana Scotto,https://www.google.com/maps/contrib/106964738965099212318,I've never left a bad review for a restaurant on principal EVER but lol what an awful experience,4/2/2021,1
https://www.google.com/maps?cid=18189491404613468604,1.81895E+19,George's at the Cove,(858) 454-4244,"1250 Prospect St, La Jolla, CA 92037",https://www.georgesatthecove.com/,4.5,2693,ChdDSUhNMG9nS0VJQ0FnSUNLbXA3NDBBRRAB,Aaron Griffin,https://www.google.com/maps/contrib/117668149994840995318,"Awful service, no functioning heat lamps, 1 hr 30 min wait for reservations, absent server, got the wrong drinks, apps and entree took forever to come out",4/2/2021,1
https://www.google.com/maps?cid=4711698260768283897,4.7117E+18,Chez Panisse,+1 510-548-5525,"1517 Shattuck Ave, Berkeley, CA 94709, United States",http://www.chezpanisse.com/,4.7,1666,ChZDSUhNMG9nS0VJQ0FnSUR5MTkySlJnEAE,Alejandro Berti,https://www.google.com/maps/contrib/117803695565111077366,"Food looks delicious. Everything looks amazing. BUT it never said anywhere that we were supposed to “cook” the food. We came from the hotel looking to eat this wonderful menu. Once we ordered we realized that the food needed to be “heated” and they give you instructions on how to finish cooking it. We drove all the way here without that information. Now we are sitting in our car with a raw duck and unfinished meal. They did apologize but didn’t provide any solution. Pretty much we paid for raw food 🥲 For a well known restaurant like this, I would have expected to get brilliant service. They just said they couldn’t help “because of the pandemic”.",3/24/2021,1
https://www.google.com/maps?cid=14731232986280580132,1.47312E+19,The Fish Market - San Diego,(619) 232-3474,"750 N Harbor Dr, San Diego, CA 92101",http://www.thefishmarket.com/,4.5,5502,ChZDSUhNMG9nS0VJQ0FnSUNLOEstbEtnEAE,N C,https://www.google.com/maps/contrib/102714048384315125924,"Not worth it. They cancelled our reservation twice. Food was poorly seasoned, Yellowfin tuna was way over cooked. Server Rossetter was inattentive and did not know the menu or answers to simple questions. The crab legs are the only thing deserving of a star, but even those had cold butter and could have been precracked better or been given a cracker. My advice, hit up the taco stand down the pier.",3/31/2021,1
https://www.google.com/maps?cid=2576997472291612925,2.577E+18,Eureka!,(510) 809-8282,"2068 Center St, Berkeley, CA 94704",http://eurekarestaurantgroup.com/locations/berkeley/,4.4,1442,ChdDSUhNMG9nS0VJQ0FnSUR5bC03bHRnRRAB,Ant G,https://www.google.com/maps/contrib/103254825082646679527,Dont order too much food or drinks the owner will be worried that you dont have enough money to pay that was my experience here. The owner is constantly watching us and being creepy. Take your money elsewhere its not fun here. Ill never come back,3/24/2021,1
https://www.google.com/maps?cid=6464751131286089649,6.46475E+18,Paon Restaurant & Bar,(760) 729-7377,"2975 Roosevelt St, Carlsbad, CA 92008",http://www.paoncarlsbad.com/,4.6,372,ChZDSUhNMG9nS0VJQ0FnSUNLdnNyQkt3EAE,Zane Humphries,https://www.google.com/maps/contrib/110463379373580620217,Possibly the worst food I have ever tasted. Do not recommend this restaurant to anyone.,4/7/2021,1
https://www.google.com/maps?cid=16574878423004586668,1.65749E+19,Guelaguetza Restaurante,(213) 427-0608,"3014 W Olympic Blvd, Los Angeles, CA 90006",http://www.ilovemole.com/,4.4,4386,ChdDSUhNMG9nS0VJQ0FnSURRM0pXWV9BRRAB,Nancy C. Jo.,https://www.google.com/maps/contrib/112764707411528123629,"Terrible experience. The waiting time is insane. When I arrived I was told the waiting time was an hour. I decided to wait since this it was my birthday, and this is where I go every year. After waiting for an hour, I was told there was going to be an another hour waiting this was upsetting. We spend the morning at the beach and my kids were very hungry. I just wish they would've told me the waiting time was two hrs since the beginning.
I get my three hungry kids in the car and star driving looking for something to eat, fifteen minutes into the drive I get a call that my table is ready, we drive back frantically and rushed in just to wait again. After 3 hours we are finally eating. Everyone was upset and starving, the food was delicious, the sever was great, but I didn't enjoyed my experience there.
I understand it is a struggle with an pandemic going on, but I think they should turn people away if they can't accomodate everyone instead of making people wait forever. :(",3/31/2021,1
https://www.google.com/maps?cid=16574878423004586668,1.65749E+19,Guelaguetza Restaurante,(213) 427-0608,"3014 W Olympic Blvd, Los Angeles, CA 90006",http://www.ilovemole.com/,4.4,4386,ChdDSUhNMG9nS0VJQ0FnSUNLbXJxenJRRRAB,Guillermo Arteaga,https://www.google.com/maps/contrib/104984127560470389625,"I don't  think this is the moment to eat at this place outside  the place and tables are terrible  and the service is bad. We was seating  for like 20 min and nobody  went  to us until we call somebody  and the food it wasn't  that same, so we gotta wait until  they open inside,",4/2/2021,1
https://www.google.com/maps?cid=16574878423004586668,1.65749E+19,Guelaguetza Restaurante,(213) 427-0608,"3014 W Olympic Blvd, Los Angeles, CA 90006",http://www.ilovemole.com/,4.4,4386,ChZDSUhNMG9nS0VJQ0FnSUNLdUxXVUlREAE,hyde l,https://www.google.com/maps/contrib/102751513973782594277,We ordered frist and yet the people who order last got the food frist we waited for 27 minutes before leaving,3/31/2021,1
https://www.google.com/maps?cid=3505271421738268575,3.50527E+18,Maggiano's Little Italy,(818) 887-3777,"6100 CA-27, Woodland Hills, CA 91367",https://locations.maggianos.com/california/woodland-hills/6100-topanga-canyon-blvd./?utm_source=google&utm_medium=organic&utm_campaign=localmaps,4.5,1411,ChdDSUhNMG9nS0VJQ0FnSUR5LTZER3Z3RRAB,John Williams,https://www.google.com/maps/contrib/109689419646531221499,Our experience was very similar to some of the reviews here... we should have read the reviews prior to coming here. We were very disappointed with the food and the service of this restaurant. Meatballs were frozen... no thank you!,3/24/2021,1
https://www.google.com/maps?cid=14112065332235844294,1.41121E+19,Koutouki Greek Estiatorio,(760) 834-8221,"73675 CA-111, Palm Desert, CA 92260",http://www.koutoukigreek.com/,4.5,197,ChZDSUhNMG9nS0VJQ0FnSUNLdHUzaUhBEAE,Jennifer Treco-Murphy,https://www.google.com/maps/contrib/117281303791297825492,"Lame, messed up my order, after waiting over 45 minutes! Never again",4/5/2021,1
https://www.google.com/maps?cid=14112065332235844294,1.41121E+19,Koutouki Greek Estiatorio,(760) 834-8221,"73675 CA-111, Palm Desert, CA 92260",http://www.koutoukigreek.com/,4.5,197,ChdDSUhNMG9nS0VJQ0FnSUNLbW9hTTVBRRAB,Matt Morris,https://www.google.com/maps/contrib/116438879946344857779,$23 gyro and salad!?!,4/2/2021,2
https://www.google.com/maps?cid=15624860582528903797,1.56249E+19,Monterey's Fish House,+1 831-373-4647,"2114 Del Monte Ave, Monterey, CA 93940 ã¢ã¡ãªã«åè¡å½",http://montereyfishhouse.com/,4.4,1653,ChdDSUhNMG9nS0VJQ0FnSUNLNnByRTlnRRAB,Kemron Brooks,https://www.google.com/maps/contrib/112810590864225600838,"I was looking forward to eating here based on the reviews, but it was terrible. The clam chowder, calamari, and red snapper wasn’t fresh or hot. I couldn’t believe it. The staff was very polite and attentive. That’s why I paid, minus the dry red snapper. I couldn’t in all conscious, pay for that. I would not recommend this place to anyone.",4/2/2021,1
